キャリア,地域,都道府県,店名,住所,URL
softbank,東北,山形県,ソフトバンク イオンモール山形南,山形県山形市若宮３丁目７‐８　イオンモール山形南２Ｆ,https://www.softbank.jp/shop/search/detail/H422/
softbank,東北,山形県,ソフトバンク イオンモール天童,山形県天童市芳賀タウン北４丁目１番１号　イオンモール天童１階,https://www.softbank.jp/shop/search/detail/HA08/
softbank,東北,山形県,ソフトバンク ときめき通り,山形県山形市花楯１丁目１‐１８,https://www.softbank.jp/shop/search/detail/H410/
softbank,東北,山形県,ソフトバンク ヤマザワ松見町,山形県山形市松見町２１‐１０　ヤマザワ松見町店内,https://www.softbank.jp/shop/search/detail/H426/
softbank,東北,山形県,ソフトバンク 寒河江,山形県寒河江市高田２丁目４‐８,https://www.softbank.jp/shop/search/detail/H416/
softbank,東北,山形県,ソフトバンク 山形西バイパス,山形県山形市あかねケ丘３丁目９‐２０,https://www.softbank.jp/shop/search/detail/H406/
softbank,東北,山形県,ソフトバンク 山形南,山形県山形市吉原１丁目１５‐２６,https://www.softbank.jp/shop/search/detail/H400/
softbank,東北,山形県,ソフトバンク 山形北,山形県山形市江俣２丁目１‐３８,https://www.softbank.jp/shop/search/detail/H417/
softbank,東北,山形県,ソフトバンク 酒田みずほ,山形県酒田市みずほ１丁目２１‐１,https://www.softbank.jp/shop/search/detail/HA16/
softbank,東北,山形県,ソフトバンク 酒田ゆたか,山形県酒田市ゆたか１丁目１５‐１,https://www.softbank.jp/shop/search/detail/H407/
softbank,東北,山形県,ソフトバンク 新庄イオンタウン,山形県新庄市五日町字清水川１３１１‐１　イオンタウン新庄内,https://www.softbank.jp/shop/search/detail/H424/
softbank,東北,山形県,ソフトバンク 村山,山形県村山市楯岡楯岡西８０３４‐３,https://www.softbank.jp/shop/search/detail/H404/
softbank,東北,山形県,ソフトバンク 長井,山形県長井市館町南９‐７０,https://www.softbank.jp/shop/search/detail/H414/
softbank,東北,山形県,ソフトバンク 鶴岡ほなみ,山形県鶴岡市ほなみ町９‐２,https://www.softbank.jp/shop/search/detail/H428/
softbank,東北,山形県,ソフトバンク 鶴岡新斎町,山形県鶴岡市東新斎町１２番７号,https://www.softbank.jp/shop/search/detail/H418/
softbank,東北,山形県,ソフトバンク 天童中央,山形県天童市鍬ノ町２丁目２番３７号,https://www.softbank.jp/shop/search/detail/H423/
softbank,東北,山形県,ソフトバンク 東根,山形県東根市さくらんぼ駅前２丁目１５番１８号,https://www.softbank.jp/shop/search/detail/H405/
softbank,東北,山形県,ソフトバンク 米沢,山形県米沢市徳町８番７‐３号,https://www.softbank.jp/shop/search/detail/H415/
softbank,東北,山形県,ソフトバンク 米沢中央,山形県米沢市金池３丁目２番１５号,https://www.softbank.jp/shop/search/detail/H411/
