キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
docomo,四国,徳島県,ドコモショップ新浜店,770-8008 徳島県徳島市西新浜町2-5-21-1,https://shop.smt.docomo.ne.jp/shop_detail/0853051143100/index.html,34.042496388889,134.55585305556,ok
docomo,四国,徳島県,ドコモショップ川内店（徳島県）,771-0142 徳島県徳島市川内町沖島124-1,https://shop.smt.docomo.ne.jp/shop_detail/0853051143600/index.html,34.104252222222,134.57525694444,ok
docomo,四国,徳島県,ドコモショップ田宮街道店,770-0804 徳島県徳島市中吉野町4-10,https://shop.smt.docomo.ne.jp/shop_detail/0801800387200/index.html,34.086044722222,134.55130944444,ok
docomo,四国,徳島県,ドコモショップ島田店（徳島県）,770-0053 徳島県徳島市南島田町3-55,https://shop.smt.docomo.ne.jp/shop_detail/0853051144800/index.html,34.080555555556,134.50694444444,ok
docomo,四国,徳島県,ドコモショップ日和佐店,779-2305 徳島県海部郡美波町奥河内寺前467-1,https://shop.smt.docomo.ne.jp/shop_detail/0801800000100/index.html,33.73004,134.52946361111,ok
docomo,四国,徳島県,ドコモショップ美馬市店,779-3602 徳島県美馬市脇町大字猪尻字建神社下南172-1,https://shop.smt.docomo.ne.jp/shop_detail/0853051145100/index.html,34.064098333333,134.16148583333,ok
docomo,四国,徳島県,ドコモショップ末広店,770-0863 徳島県徳島市安宅2-6-76,https://shop.smt.docomo.ne.jp/shop_detail/0801800007300/index.html,34.070476388889,134.57502305556,ok
docomo,四国,徳島県,ドコモショップ鳴門大津店,772-0032 徳島県鳴門市大津町吉永236-3,https://shop.smt.docomo.ne.jp/shop_detail/0801800238500/index.html,34.164468055556,134.596365,ok
docomo,四国,徳島県,ドコモショップ藍住店,771-1221 徳島県板野郡藍住町東中富字長江傍示1-87,https://shop.smt.docomo.ne.jp/shop_detail/0853051143500/index.html,34.129781388889,134.48354388889,ok
softbank,四国,徳島県,ソフトバンク イオンモール徳島,徳島県徳島市南末広町４番１号　イオンモール徳島４Ｆ,https://www.softbank.jp/shop/search/detail/S101/,34.062817,134.57405,ok
softbank,四国,徳島県,ソフトバンク フジグラン石井,徳島県名西郡石井町高川原字天神５４４‐１,https://www.softbank.jp/shop/search/detail/S130/,34.0834,134.44131,ok
softbank,四国,徳島県,ソフトバンク フジグラン北島,徳島県板野郡北島町鯛浜字西ノ須１７４　フジグラン北島２Ｆ,https://www.softbank.jp/shop/search/detail/S119/,34.112053,134.54688,ok
softbank,四国,徳島県,ソフトバンク ゆめタウン徳島,徳島県板野郡藍住町奥野字東中須８８‐１　ゆめタウン徳島１階,https://www.softbank.jp/shop/search/detail/S135/,34.11862,134.50154,ok
softbank,四国,徳島県,ソフトバンク 阿南中央,徳島県阿南市富岡町滝の下２４‐１,https://www.softbank.jp/shop/search/detail/S110/,33.91698,134.66261,ok
softbank,四国,徳島県,ソフトバンク 沖浜,徳島県徳島市南昭和町１丁目２４,https://www.softbank.jp/shop/search/detail/S120/,34.058743,134.55467,ok
softbank,四国,徳島県,ソフトバンク 吉野川,徳島県吉野川市鴨島町上下島１２５‐３,https://www.softbank.jp/shop/search/detail/S134/,34.068413,134.35364,ok
softbank,四国,徳島県,ソフトバンク 三加茂,徳島県三好郡東みよし町加茂１７３６番１‐２,https://www.softbank.jp/shop/search/detail/SA10/,34.039024,133.9318,ok
softbank,四国,徳島県,ソフトバンク 小松島ルピア,徳島県小松島市小松島町字領田２０番地,https://www.softbank.jp/shop/search/detail/SA03/,34.00545,134.57253,ok
softbank,四国,徳島県,ソフトバンク 新浜,徳島県徳島市八万町大野１５８番地１,https://www.softbank.jp/shop/search/detail/S123/,34.042397,134.55254,ok
softbank,四国,徳島県,ソフトバンク 島田タクト,徳島県徳島市南島田町３丁目５５　ショッピングプラザタクトＢ館,https://www.softbank.jp/shop/search/detail/SA16/,34.080116,134.50793,ok
softbank,四国,徳島県,ソフトバンク 徳島中央,徳島県徳島市北田宮１丁目２３６‐２,https://www.softbank.jp/shop/search/detail/SA13/,34.086918,134.54695,ok
softbank,四国,徳島県,ソフトバンク 鳴門,徳島県鳴門市撫養町斎田字東発１９‐４,https://www.softbank.jp/shop/search/detail/S117/,34.170483,134.60464,ok
softbank,四国,徳島県,ソフトバンク 藍住,徳島県板野郡藍住町笠木字中野１６７‐１,https://www.softbank.jp/shop/search/detail/S108/,34.13422,134.50632,ok
softbank,四国,徳島県,ソフトバンク 脇町,徳島県美馬市脇町字拝原１５８３‐１,https://www.softbank.jp/shop/search/detail/S105/,34.06377,134.16434,ok
